Frequency,SEmagS11,SEargS11,SEmagS21,SEargS21,SEmagS22,SEargS22
0.01,-0.0706599695838,170.726602674,0.594722469191,0.0976165637138,-0.107526970969,167.245547076
0.02,0.0553312827412,60.8901493069,0.0197539982487,-1.0315340077,-0.0283191604581,364.393868572
0.03,-0.172768022894,38.0985711937,0.0500377032043,-0.878507247275,-0.248006634659,27.7992012139
0.04,-0.0070481403218,47.8056110758,0.312016504997,0.1425288075,-0.111488948177,359.5499024
0.05,-0.0594727051668,42.4227406539,0.202040035262,-0.473785608287,-0.150430076413,57.0875664885
0.06,0.0482737530886,45.3190188345,0.238384156165,-0.229593783387,-0.11362999083,48.2226919901
0.07,0.011625092876,29.4090544973,0.35836882215,-0.10114895338,-0.0976465574566,22.7708624069
0.08,0.0655988250653,22.5507084369,0.314916085602,0.267122704691,-0.00719988947484,10.3881077593
0.09,0.00409853231374,28.9681531968,0.320261099184,-0.0273195762947,-0.0573794523924,31.652102894
0.1,0.0359311168741,43.0601389628,0.267045872332,-0.0448846696359,-0.0409451041645,48.787548089
0.15,0.28695448125,111.485849348,0.0753732499492,-0.0137859676191,-0.00794705134687,16.0638803382
0.2,0.348682770275,52.6283445247,0.146115219304,-0.227572949538,0.172984583507,4.11893036834
0.25,0.236959526805,-0.044046990005,0.648878105725,-0.557233296756,0.167158623705,13.3241792324
0.3,0.400179249507,30.0418565432,0.452809233681,-0.0946422625363,0.127836354412,-18.6108389472
0.35,0.288750736873,-3.81422717354,-0.208153400681,0.160346283805,0.18443813155,-11.3825606437
0.4,0.327249139322,32.298872838,0.616705488612,0.353008174556,0.210370768531,-101.748547475
0.45,0.394650431443,-7.46464322577,-0.0133955593118,-0.651175118444,0.234350516605,-4.35344278701
0.5,0.417823468922,14.7074641888,0.243053395644,-0.115552725089,0.240350605163,-43.3457160966
0.55,0.29145913312,-12.8119963538,0.37952570057,0.390253058888,0.249145263717,-14.1048029197
0.6,0.355654078564,45.0749026124,0.287373130292,0.488135108683,0.455400662923,-62.822228163
0.65,0.386893571952,-22.5074325589,0.197121815269,-0.368995297543,0.229685384767,-20.3154973381
0.7,0.0903860283064,34.0237922364,0.516895132652,-0.317481942297,0.35496731086,-111.520394559
0.75,0.403901594597,-16.5024420017,0.393849272659,0.849791120325,0.164773407747,-53.5414452506
0.8,0.340806120765,11.8821655553,0.0291004752601,0.107632690006,0.223125240286,-26.1328625866
0.85,0.31432347582,-87.2100620185,0.0689454813175,-0.39994075898,0.239996209295,-10.2672111783
0.9,0.439371429121,9.56420573198,0.322854673104,-0.773553759264,0.11102126359,-42.8253223504
0.95,0.345155904426,-19.3782802833,0.880875340613,0.565762223892,0.164550697147,-8.19696004105
1.0,0.288584499635,2.09526268217,0.45851482016,-0.261587893627,0.222781898815,-32.8317897555
